Issue key,Issue id,Summary,Priority,Created,Custom field (Employee Personal Email),Custom field (Employee Phone Number),Custom field (Employee Shipping Address),Custom field (Employee Work Location)
SD-72507,1252676,Request to delete an opp,Normal,16/Dec/25 9:04 AM,,,,
SD-72490,1252593,Salesforce: Missing Access,Normal,16/Dec/25 8:26 AM,,,,
SD-72455,1252167,"Hi team, <https://servicetitan.lightning.force.com/lightning/r/Case/500Pg000013pzTrIAI/view?ws=%2Flightning%2Fr%2FCase%2F500Pg00001C9G31IAF%2Fview|this tenant's >OB records were churned but the case status and account status remained the same. Can you pl…",Normal,16/Dec/25 12:41 AM,,,,
SD-72397,1251369,Request access to SFDC (both ST and Aspire).,Normal,15/Dec/25 11:53 AM,,,,
SD-72386,1251319,Request to move this stage back to Pending Boarding,Normal,15/Dec/25 11:24 AM,,,,
SD-72380,1251263,Cleanup Onboarding Record,Normal,15/Dec/25 10:54 AM,,,,
SD-72263,1250047,Unable to Closed Lost The Payments Opp: Able Roofing LLC DBA Crane Renovation Group - Payments - 09/13/2025,Normal,12/Dec/25 1:39 PM,,,,
SD-72250,1249852,Delete Payment Opp - Bear Valley Plumbing & Heating payment Opp 08/12/2025,Normal,12/Dec/25 11:29 AM,,,,
SD-72127,1248169,Please Delete Duplicate Payments Opportunity for Greenman Inc,Normal,11/Dec/25 9:56 AM,,,,
SD-72106,1247993,Duplicate opportunity created,Normal,11/Dec/25 8:34 AM,,,,
SD-72075,1247610,Need Salesforce Production Access,Normal,11/Dec/25 3:21 AM,,,,
SD-72029,1247012,Please Delete Duplicate Payment Opp for Brisbane Plumbing and Drainage Pty Ltd - Payments - 06/17/2025,Normal,10/Dec/25 1:33 PM,,,,
SD-72027,1247006,Please Delete Duplicate Payment Opp for House Doctors of The Lowcountry - Payments - 06/16/2025,Normal,10/Dec/25 1:30 PM,,,,
SD-71920,1245648,hey team! can you please help me churn this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg0000065dIDIAY/view|OB record> <https://www.loom.com/i/a518078466a94e2fa8b786d73f7706d0> [no preview available] ,Normal,09/Dec/25 7:24 PM,,,,
SD-71919,1245619,Salesforce Access,Normal,09/Dec/25 6:03 PM,,,,
SD-71917,1245567,hey team! <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg0000001RCfIAM/view|OB record> to churn please <https://www.loom.com/i/c9c9ff48a3c14987803f6c446fbca7de> [no preview available] ,Normal,09/Dec/25 5:25 PM,,,,
SD-71914,1245505,Roll Onboarding Status back to Pending Underwriting,Normal,09/Dec/25 4:35 PM,,,,
SD-71772,1244003,Update account status to success,Normal,08/Dec/25 11:45 PM,,,,
SD-71692,1243171,Salesforce access,Normal,08/Dec/25 11:32 AM,,,,
SD-71653,1242692,Remove Payments opportunity,Normal,08/Dec/25 8:13 AM,,,,
SD-71648,1242653,Change Onboarding Record back to Pending Underwriting,Normal,08/Dec/25 7:50 AM,,,,
SD-71600,1241189,Hey team I need help churning this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg000000vfMbIAI/view|OB record> <https://www.loom.com/i/9204009db7fe4feca57713d19df31de6> [no preview available] ,Normal,05/Dec/25 4:55 PM,,,,
SD-71587,1241088,System keeps changing primary contact on success customers,Normal,05/Dec/25 3:18 PM,,,,
SD-71577,1240987,Salesforce Access,Normal,05/Dec/25 1:36 PM,,,,
SD-71573,1240977,Create Payment Opportunity for Bear Valley Plumbing & Heating,Normal,05/Dec/25 1:28 PM,,,,
SD-71552,1240838,Please Create a Payments Opportunity for Rholla Inc DBA Mr. Electric of Winter Haven,Normal,05/Dec/25 12:13 PM,,,,
SD-71546,1240779,Cannot access Salesforce account via button; redirects to non-existent account page.,Normal,05/Dec/25 11:50 AM,,,,
SD-71527,1240566,Upgrade SF permissions for Jessi Jimenez,Normal,05/Dec/25 10:16 AM,,,,
SD-71518,1240509,Need a new ServiceTitan Payments Opportunity ,Normal,05/Dec/25 9:46 AM,,,,
SD-71510,1240434,Please re-grant SalesForce Access,Normal,05/Dec/25 9:16 AM,,,,
SD-71452,1239180,Bryan Neely - Reactive in SFDC,Normal,04/Dec/25 4:10 PM,,,,
SD-71451,1239142,User License for Salesforce,Normal,04/Dec/25 3:49 PM,,,,
SD-71440,1238982,Please Delete Payments Opportunity for FH Franchising LLC dba HomeField Franchising,Normal,04/Dec/25 2:21 PM,,,,
SD-71406,1238675,Please delete OB record - created in Error,Normal,04/Dec/25 11:51 AM,,,,
SD-71245,1236605,Still can't access sfdc,Normal,03/Dec/25 11:49 AM,,,,
SD-71211,1236303,Request to delete an opp,Normal,03/Dec/25 9:34 AM,,,,
SD-71196,1236118,Please delete this record as it is a duplicate one ,Normal,03/Dec/25 8:36 AM,,,,
SD-71158,1235804,Duplicate opportunity created,Normal,03/Dec/25 5:59 AM,,,,
SD-70918,1232711,Salesforce access,Normal,01/Dec/25 12:49 PM,,,,
SD-70916,1232703,"Please delete this opportunity Metro Builders, Inc. - Tampa Bay - Payments - 10/20/2025",Normal,01/Dec/25 12:46 PM,,,,
SD-70901,1232616,Update Salesforce Permissions,Normal,01/Dec/25 12:06 PM,,,,
SD-70871,1232476,Inactive Salesforce User,Normal,01/Dec/25 10:39 AM,,,,
SD-70831,1232301,Please Delete Duplicate Payments Opportunity for Mr. Rooter - mcgaughymarkw,Normal,01/Dec/25 9:23 AM,,,,
SD-70829,1232275,Request for Processing Ticket SD-70468,Normal,01/Dec/25 9:15 AM,,,,
SD-70752,1230821,I need to reset my Salesforce password and haven't set up a security question.,Normal,28/Nov/25 11:27 AM,,,,
SD-70746,1230808,hey team! can you please churn this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0i1P000004dj2BQAQ/view|OB record>,Normal,28/Nov/25 10:40 AM,,,,
SD-70717,1229993,hey team! another <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg000003KGEzIAO/view|OB record> to churn <https://www.loom.com/i/21c9c575145849bc946c114cbceddcf8> [no preview available] ,Normal,27/Nov/25 2:50 AM,,,,
SD-70715,1229977,hey team can you help me churn this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0i1P000005SG2BQAW/view|OB record> <https://www.loom.com/i/caf92d27aee04a64b3f709e9f151bd2f> [no preview available] ,Normal,27/Nov/25 2:34 AM,,,,
SD-70714,1229928,"hey team! Can you please help me churn all the <https://servicetitan.lightning.force.com/lightning/r/Account/0011P000014sHMvQAM/related/Onboarding__r/view|OB records> here? The tenant account is already churned, contracts are terminated. Thanks! cc. <@U0…",Normal,27/Nov/25 1:01 AM,,,,
SD-70637,1229017,Request to have duplicated onboarding record deleted ,Normal,26/Nov/25 8:08 AM,,,,
SD-70636,1229016,Help erasing Success Transition Status on those Onbaording Record - need bypass permission,Normal,26/Nov/25 8:06 AM,,,,
SD-70564,1228043,SFDC Permissions,Normal,25/Nov/25 12:33 PM,,,,
SD-70548,1227998,Request to delete an opp,Normal,25/Nov/25 12:01 PM,,,,
SD-70540,1227872,Please remove onboarding record,Normal,25/Nov/25 10:46 AM,,,,
SD-70529,1227750,Lost access to SFDC,Normal,25/Nov/25 9:49 AM,,,,
SD-70523,1227704,Salesforce access removed,Normal,25/Nov/25 9:26 AM,,,,
SD-70466,1227164,Delete/remove SFDC account,Normal,25/Nov/25 4:00 AM,,,,
SD-70434,1226487,Please Create a Payments Opportunity for Mr. Electric of East Baltimore - mremarablealonna,Normal,24/Nov/25 2:36 PM,,,,
SD-70410,1226221,Please delete these OB records as they are duplicate cases ,Normal,24/Nov/25 12:55 PM,,,,
SD-70375,1225973,Request for access to salesforce,Normal,24/Nov/25 10:51 AM,,,,
SD-70344,1225610,SF issue,Normal,24/Nov/25 8:29 AM,,,,
SD-70334,1225488,Please update churn case hierachy,Normal,24/Nov/25 7:46 AM,,,,
SD-70265,1223807,SalesForce Quote Creation Access,Normal,21/Nov/25 12:07 PM,,,,
SD-70250,1223672,Access to Salesforce ,Normal,21/Nov/25 11:07 AM,,,,
SD-70236,1223580,Please Create a Payments Opportunity for Mr. Rooter - mcgaughymarkw,Normal,21/Nov/25 10:09 AM,,,,
SD-70197,1223250,Change status back to Approved on Opportunity ,Normal,21/Nov/25 7:52 AM,,,,
SD-70184,1223030,hey team can you please churn this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0i1P000005nikHQAQ/view|OB record> for me <https://www.loom.com/i/3d63efae5a634118a37b8e98109786d9> [no preview available] ,Normal,21/Nov/25 5:07 AM,,,,
SD-70182,1223023,hey team! Can you please help me churn this <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg0000007SMAIA2/view|OB record>. see error I get below <https://www.loom.com/i/b9ba64b8d71b4d4e9ccdc8c6d6064283> [no preview available] ,Normal,21/Nov/25 5:03 AM,,,,
SD-70137,1222213,"Please create a Payment Opportunity for T & L Power Pros LLC, dba Mr. Electric of Canton",Normal,20/Nov/25 2:18 PM,,,,
SD-70131,1222171,"Please close duplicate opportunity for Kahn Air Conditioning, Inc.",Normal,20/Nov/25 1:57 PM,,,,
SD-70124,1222102,Hi Team - I am trying to put this <https://servicetitan.lightning.force.com/lightning/r/Case/500Pg00001LVgBJIA1/view|case> in my name but it says record is locked. may you assist. Thank you!,Normal,20/Nov/25 1:22 PM,,,,
SD-70083,1221783,Access to SalesForce and Access to Impersonate Users in ST,Normal,20/Nov/25 10:35 AM,,,,
SD-70068,1221622,Lost SFDC access,Normal,20/Nov/25 9:44 AM,,,,
SD-70052,1221388,Request a live person to review ticket SD-67930.,Normal,20/Nov/25 8:15 AM,,,,
SD-70022,1220789,"The ""Updated Flip to Live Dashboard"" in Salesforce isn’t active because the owner is deactivated. Could you please restore access to it?",Normal,19/Nov/25 10:46 PM,,,,
SD-70015,1220611,Credit Note did not generate,Normal,19/Nov/25 5:43 PM,,,,
SD-70004,1220437,Danna escarraga needs all the salesforce Access for her role as nesting lead in the Wave lead,Normal,19/Nov/25 3:38 PM,,,,
SD-69968,1219958,need access to changing opp owner in SFDC,Normal,19/Nov/25 11:30 AM,,,,
SD-69936,1219745, Salesforce Access Request,Normal,19/Nov/25 9:48 AM,,,,
SD-69893,1219302,SalesForce access revoked for my account after my promotion ,Normal,19/Nov/25 6:10 AM,,,,
SD-69763,1217871,Request to delete an opp,Normal,18/Nov/25 9:22 AM,,,,
SD-69762,1217856,Danna escarraga needs all the salesforce Access for her role as nesting lead in the Wave lead ,Normal,18/Nov/25 9:18 AM,,,,
SD-69730,1217701,Salesforce Access Request for New Hire,Normal,18/Nov/25 8:32 AM,,,,
SD-69702,1217514,Please grant RJ Stone  with all SalesForce permissions,Normal,18/Nov/25 6:59 AM,,,,
SD-69690,1217483, Salesforce Access Request for New Hire,Normal,18/Nov/25 6:42 AM,,,,
SD-69677,1217403,Salesforce Access Request for New Hire,Normal,18/Nov/25 6:13 AM,,,,
SD-69663,1217302,Please provide me access to Salesforce,Normal,18/Nov/25 4:01 AM,,,,
SD-69630,1216557,Please mark this concession as cancelled <https://servicetitan.lightning.force.com/lightning/r/a7zPg000001VuRxIAK/view|CON-00010476> - thank you,Normal,17/Nov/25 3:07 PM,,,,
SD-69625,1216513,Salesforce Access,Normal,17/Nov/25 2:42 PM,,,,
SD-69565,1215927,Please delete the following duplicate record ,Normal,17/Nov/25 11:04 AM,,,,
SD-69531,1215679,Salesforce access,Normal,17/Nov/25 9:21 AM,,,,
SD-69530,1215627,Please create a Payments Opportunity for Clt quality air dba Quality pro Services of North Charlotte,Normal,17/Nov/25 9:06 AM,,,,
SD-69466,1214457,"hey team, can I get help churning <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg0000004opRIAQ/view|this Onboarding record>? Thanks!",Normal,15/Nov/25 1:32 PM,,,,
SD-69438,1213962,Access to Salesforce,Normal,14/Nov/25 2:45 PM,,,,
SD-69325,1212483,"Hi Team, I am a new joinee here. I am requesting you to provide access for Salesforce production and UAT 1,2,3 and 4",Normal,13/Nov/25 11:47 PM,,,,
SD-69324,1212455,"Hi Team, I am a new joinee here. I am requesting you to provide access for Salesforce production and UAT 1,2,3 and 4. ",Normal,13/Nov/25 11:28 PM,,,,
SD-69293,1211826,Kicked out of Salesforce,Normal,13/Nov/25 1:25 PM,,,,
SD-69284,1211718,Need opportunity stage in SFDC moved back to Pending Boarding,Normal,13/Nov/25 12:43 PM,,,,
SD-69239,1211434,Please Create a Payments Opportunity for Mr. Rooter - mcgaughymarkw,Normal,13/Nov/25 10:26 AM,,,,
SD-69214,1211271,Provide access to Salesforce Production and UAT sandboxes for gkumar@servicetitan.com and aanitha@servicetitan.com,Normal,13/Nov/25 9:16 AM,,,,
SD-69200,1211185,Servsuite User not able to login into SF ticketing system,Normal,13/Nov/25 8:50 AM,,,,
SD-69167,1210815,Changed phone number in email signature but not updated,Normal,13/Nov/25 6:11 AM,,,,
SD-69107,1209606,Need accounts to be reassigned in SFDC,Normal,12/Nov/25 12:46 PM,,,,
SD-69072,1209363,"Please create a Payments Opportunity for TRAGAR FUEL OIL CO., INC.",Normal,12/Nov/25 10:46 AM,,,,
SD-69048,1209167,I need assistance logging into my Salesforce,Normal,12/Nov/25 9:30 AM,,,,
SD-69022,1208974,"I need help deleting a Salesforce Onboarding record for Allstar Holdings, LLC, record name: a0iPg00000Ct9QL",Normal,12/Nov/25 8:16 AM,,,,
SD-68968,1207989,Delete/remove SFDC account,Normal,11/Nov/25 8:57 AM,,,,
SD-68888,1206405,Please create a Payments Opportunity for MG3 HVAC LLC dba Quality Pro Services South Charlotte,Normal,10/Nov/25 10:29 AM,,,,
SD-68813,1205568,"Hi! I am trying to terminate <https://servicetitan.lightning.force.com/lightning/r/Account/001Pg00000AHlhmIAD/related/Contracts/view?ws=%2Flightning%2Fr%2FCase%2F500Pg000018kTWjIAM%2Fview|these> 2 contracts, but it doesn't show as terminated, they are st…",Normal,10/Nov/25 1:45 AM,,,,
SD-68810,1205490,Prod access gone.  ,Normal,10/Nov/25 12:32 AM,,,,
SD-68785,1204466,Salesforce error when creating triage cases.,Normal,07/Nov/25 4:49 PM,,,,
SD-68779,1204346,Request to create a Payments opp,Normal,07/Nov/25 2:48 PM,,,,
SD-68688,1203410,Updating SF Permission Level,Normal,07/Nov/25 6:11 AM,,,,
SD-68658,1202589,"Please delete duplicate payment opportunity for Metro Builders, Inc. - Tampa Bay",Normal,06/Nov/25 3:32 PM,,,,
SD-68644,1202476,SFDC Billing,Normal,06/Nov/25 2:02 PM,,,,
SD-68642,1202468,SFDC Access,Normal,06/Nov/25 1:57 PM,,,,
SD-68635,1202391,ServiceTitan Salesforce Access,Normal,06/Nov/25 1:25 PM,,,,
SD-68600,1202061,"Hey team, can you give me access to SFDC, mirror <@U08N2K48URZ>’s access please? TY!",Normal,06/Nov/25 10:48 AM,,,,
SD-68534,1200248,"Hi, Can you help me churn OB record - <https://servicetitan.lightning.force.com/lightning/r/Onboarding__c/a0iPg000000ZLmLIAW/view?ws=%2Flightning%2Fr%2FAccount%2F0011P000019e4HJQAY%2Fview|this OB record>, please?",Normal,06/Nov/25 2:26 AM,,,,
SD-68518,1199894,Please create a Payment Opportunity for Ellis Services LLC DBA Mr. Rooter Plumbing of Wausau,Normal,05/Nov/25 4:48 PM,,,,
SD-68324,1197625,"Please create a Payments Opportunity for Reliable Plumbing Clearwater, LLC",Normal,04/Nov/25 1:32 PM,,,,
SD-68315,1197476,SFDC Access Needed,Normal,04/Nov/25 12:42 PM,,,,
SD-68210,1196341,Please provide permissions equal to Artyom Ghazaryan for Salesforce and Tenant Management,Normal,04/Nov/25 2:51 AM,,,,
SD-68156,1195256,Salesforce License for Israel Gaeta,Normal,03/Nov/25 12:04 PM,,,,
SD-68148,1195032,I need access to Salesforce,Normal,03/Nov/25 11:29 AM,,,,
SD-68085,1194569,Request to have 2 duplicated onboarding records deleted,Normal,03/Nov/25 8:22 AM,,,,
SD-68053,1193977,request to provide Salesforce access,Normal,03/Nov/25 2:06 AM,,,,
SD-68011,1192934,"No access to close lost opp, please assist with backend closure. Link: <https://servicetitan.lightning.force.com/lightning/r/Opportunity/006Pg00000ZwIObIAN/view>",Normal,31/Oct/25 4:21 PM,,,,
SD-67965,1192518,Please create a Payments Opportunity for Mr. Handyman - scottdavid,Normal,31/Oct/25 12:19 PM,,,,
SD-67939,1192184,"Please Create Payments Opportunity for Young Electrical Inc. DBA Mr. Electri of Allegan, Ottawa & Van Buren Counties",Normal,31/Oct/25 9:27 AM,,,,
SD-67930,1192158,Salesforce Access ,Normal,31/Oct/25 9:16 AM,,,,
SD-67929,1192151,"Can we please get this Payments opp back to the correct stage ""discovery call"" ",Normal,31/Oct/25 9:13 AM,,,,
SD-67908,1192030,Salesforce access,Normal,31/Oct/25 7:51 AM,,,,
SD-67889,1191745,Salesforce Access for Shivank Namdev snamdev@servicetitan.com,Normal,31/Oct/25 4:22 AM,,,,
SD-67865,1191155,Request to create a Payments opp,Normal,30/Oct/25 3:05 PM,,,,
SD-67853,1191077,Can not create payment opportunity for 4 A/C LLC https://servicetitan.lightning.force.com/lightning/r/Account/0011a00000W8kRJAAZ/view,Normal,30/Oct/25 2:22 PM,,,,
SD-67804,1190753,Salesforce Access Request for New Hire,Normal,30/Oct/25 11:32 AM,,,,
SD-67784,1190555,Salesforce Access Required,Normal,30/Oct/25 10:18 AM,,,,
SD-67774,1190486,Access to Salesforce,Normal,30/Oct/25 9:45 AM,,,,
SD-67768,1190448,Please create a Payment Opportunity for mrrbanfiendre,Normal,30/Oct/25 9:29 AM,,,,
SD-67766,1190446,Please Create a Payment Opportunity for mrrrohdedaniel,Normal,30/Oct/25 9:27 AM,,,,
SD-67749,1190267,Please create Payment Opp in SFDC,Normal,30/Oct/25 8:12 AM,,,,
SD-67748,1190252,Please create new Payment Opportunity for Neighborly account,Normal,30/Oct/25 8:09 AM,,,,
SD-67743,1190226,SalesForce Access Revokes,Normal,30/Oct/25 7:58 AM,,,,
SD-67641,1189088,Request to create a Payments opp,Normal,29/Oct/25 2:53 PM,,,,
SD-67631,1188981,Need to regain access to SalesForce in Okta,Normal,29/Oct/25 2:09 PM,,,,
SD-67603,1188732,Can not create payment opportunity in salesforce,Normal,29/Oct/25 12:16 PM,,,,
SD-67586,1188606,"Please create a ServiceTitan Payments Opportunity for The Plumbing Professionals, L.L.C.",Normal,29/Oct/25 11:19 AM,,,,
SD-67565,1188368,Create Payments Opportunity,Normal,29/Oct/25 9:54 AM,,,,
SD-67564,1188367,Create Payments Opportunity,Normal,29/Oct/25 9:54 AM,,,,
SD-67562,1188344,Please create a Payments Opportunity for Salt River Air,Normal,29/Oct/25 9:48 AM,,,,
SD-67560,1188322,Please create a ServiceTitan Payments Opportunity for Dayco Systems LLC,Normal,29/Oct/25 9:40 AM,,,,
SD-67553,1188293,Please Delete Duplicate Payments Opportunity for Penny Electric LLC,Normal,29/Oct/25 9:16 AM,,,,
SD-67547,1188265,Please add salesforce tile back to my Okta account,Normal,29/Oct/25 9:01 AM,,,,
SD-67535,1188158,Please delete these cases as they are duplicate,Normal,29/Oct/25 8:24 AM,,,,
SD-67532,1188127,Unable to create Payment opp ,Normal,29/Oct/25 8:06 AM,,,,
SD-67413,1186429,Please delete move this payment opportunity to Closed Lost ,Normal,28/Oct/25 9:55 AM,,,,
SD-67356,1185757,"Hi, <https://servicetitan.lightning.force.com/lightning/r/Case/500Pg000016t1E3IAI/view|this case >is supposed to have ""churned"" status, as the ST Onboarding record(	 Ace Paint Prince William NOVA-1/4/2024) is churned. Why did the automation not work? Can…",Normal,28/Oct/25 5:32 AM,,,,
SD-67303,1184739,Salesforce Access,Normal,27/Oct/25 1:35 PM,,,,
SD-67298,1184686,ServiceTitan Salesforce Access,Normal,27/Oct/25 1:14 PM,,,,
SD-67280,1184563,"Access to Salesforce CRM, CPQ, & Billing",Normal,27/Oct/25 12:32 PM,,,,
SD-67229,1183894,Please remove duplicated onboarding record,Normal,27/Oct/25 8:28 AM,,,,
SD-67219,1183783,flag for removal page in SF is saying zero when there should be like 50 accounts,Normal,27/Oct/25 7:50 AM,,,,
SD-67174,1183114,Please create a payment opp for The Thomas Trio LLC DBA Mr. Electric of Land O Lakes,Normal,26/Oct/25 7:24 PM,,,,
SD-67119,1181792,Report Access - https://servicetitan.lightning.force.com/lightning/r/Report/00OPg00000IwJvxMAF/view?queryScope=userFolders,Normal,24/Oct/25 11:28 AM,,,,
SD-67063,1180937,Requesting to provide Salesforce Production access  for debugging issues.,Normal,24/Oct/25 2:13 AM,,,,
SD-67054,1180690,Need to change Onboarder from the account level,Normal,23/Oct/25 5:43 PM,,,,
SD-67041,1180534,"Asset Object Permission to View/Edit field ""Merchant ID""",Normal,23/Oct/25 3:08 PM,,,,
SD-66836,1178139,Remove Payments opportunity,Normal,22/Oct/25 11:17 AM,,,,
SD-66833,1178112,Lost access to Salesforce,Normal,22/Oct/25 11:01 AM,,,,
SD-66805,1177833,Remove Payments opportunity,Normal,22/Oct/25 9:10 AM,,,,
SD-66796,1177791,Need a new ServiceTitan Payments Opportunity ,Normal,22/Oct/25 8:52 AM,,,,
SD-66727,1176892,Request to move this stage back to Discovery Call,Normal,21/Oct/25 6:01 PM,,,,
SD-66620,1176031,Request access to Salesforce for customer issue review.,Normal,21/Oct/25 10:38 AM,,,,
SD-66419,1174320,Slack channel stca-support-case-log shows an email that came to support that we cannot find in salesforce,Normal,20/Oct/25 2:54 PM,,,,
